1,0,0,0,0,0,0,True,False,0,GAZE_POINT_NAT_RP_01_AB_01.wav
2,24.0,2.4,3.0,24.0,3.0,0.1,True,True,5571,GAZE_POINT_NAT_RP_01_AB_02.wav
3,27.0,5.4,3.0,27.0,3.0,0.2,True,True,3413,GAZE_POINT_NAT_RP_01_AB_03.wav
4,6.0,0.0,3.0,6.0,3.0,0.0,True,True,3464,GAZE_POINT_NAT_RP_01_AB_04.wav
5,30.0,6.0,3.0,30.0,3.0,0.2,True,True,3966,GAZE_POINT_NAT_RP_01_AB_05.wav
6,0.0,0.0,3.0,0.0,3.0,0.3,True,True,2661,GAZE_POINT_NAT_RP_01_AB_06.wav
7,24.0,0.0,3.0,24.0,3.0,0.0,True,True,3664,GAZE_POINT_NAT_RP_01_AB_07.wav
8,30.0,0.0,3.0,30.0,3.0,0.0,True,True,1758,GAZE_POINT_NAT_RP_01_AB_08.wav
9,24.0,7.2,3.0,24.0,3.0,0.3,True,True,2811,GAZE_POINT_NAT_RP_01_AB_09.wav
10,30.0,9.0,3.0,30.0,3.0,0.3,True,True,1657,GAZE_POINT_NAT_RP_01_AB_10.wav
11,3.0,0.0,3.0,3.0,3.0,0.0,True,True,2912,GAZE_POINT_NAT_RP_01_AB_11.wav
12,30.0,3.0,3.0,30.0,3.0,0.1,True,True,1858,GAZE_POINT_NAT_RP_01_AB_12.wav
13,30.0,12.0,3.0,30.0,3.0,0.4,True,True,2209,GAZE_POINT_NAT_RP_01_AB_13.wav
14,24.0,4.8,3.0,24.0,3.0,0.2,True,True,6124,GAZE_POINT_NAT_RP_01_AB_14.wav
15,30.0,12.0,3.0,30.0,3.0,0.4,True,True,1908,GAZE_POINT_NAT_RP_01_AB_15.wav
16,30.0,9.0,3.0,30.0,3.0,0.3,True,True,1958,GAZE_POINT_NAT_RP_01_AB_16.wav
17,6.0,2.4,3.0,6.0,3.0,0.4,True,True,2459,GAZE_POINT_NAT_RP_01_AB_17.wav
18,24.0,4.8,3.0,24.0,3.0,0.2,True,True,2258,GAZE_POINT_NAT_RP_01_AB_18.wav
19,6.0,2.4,3.0,6.0,3.0,0.4,True,True,3363,GAZE_POINT_NAT_RP_01_AB_19.wav
20,30.0,3.0,3.0,30.0,3.0,0.1,True,True,3563,GAZE_POINT_NAT_RP_01_AB_20.wav
